ID;Simulation ID;Run;Iteration;Activity;Timestamp (sec);Duration(sec);Type;Cause ID;Result ID;Attributes
1;sim_1747527600000;1;0;Запуск #1;0.0;;system;;;"{""runNumber"": 1, ""strategy"": ""auto"", ""humidity"": 38, ""temperature"": 19}"
2;sim_1747527600000;1;4;Задымление: начальный уровень (Т1);10.12;;event;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 11.3, ""CO2_ppm"": 729, ""CO_ppm"": 5, ""description"": ""Эксплуатационные характеристики помещения сохраняются"", ""objectId"": ""object_1779051672543"", ""objectLabel"": ""Датчик дыма""}"
3;sim_1747527600000;1;5;Датчик дыма: возгорание обнаружено;15.42;;event;;;"{""impactCode"": ""Т1"", ""objectId"": ""object_1779051672543"", ""label"": ""Датчик дыма"", ""isActive"": true, ""smokeDensity_pct"": 14, ""CO2_ppm"": 950}"
4;sim_1747527600000;1;5;Мониторинг работы склада;15.92;15.0;action;;;"{""nodeId"": ""node_detect"", ""responsible"": ""Дежурный охранник"", ""parallel"": false, ""resultEventId"": 5}"
5;sim_1747527600000;1;6;Возгорание обнаружено;30.92;;event;;;"{""sourceNodeId"": ""node_detect"", ""resultEventId"": 5}"
6;sim_1747527600000;1;12;Задымление: критический уровень (Т2);40.92;;event;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 36.3, ""CO2_ppm"": 2506, ""CO_ppm"": 116, ""visibility_m"": 2.6, ""description"": ""Видимость снижена, персонал временно теряет ориентацию — эвакуация затруднена""}"
7;sim_1747527600000;1;9;Стеллаж 2 в зоне воздействия огня (Т1);38.92;;object;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672220634"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 2"", ""position"": {""x"": 620, ""y"": 390}, ""intensity"": 1, ""temperature_C"": 55, ""objectProperties"": {""material"": ""mixed"", ""load"": 65, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""at_risk"", ""currentDamage"": 0}}"
8;sim_1747527600000;1;7;Оповещение и эвакуация персонала;31.92;240.0;action;;9;"{""nodeId"": ""node_1779051773013"", ""responsible"": ""Дежурный охранник"", ""parallel"": true, ""resultEventId"": 9}"
9;sim_1747527600000;1;39;Персонал эвакуирован;271.92;;event;8;;"{""sourceNodeId"": ""node_1779051773013""}"
10;sim_1747527600000;1;14;Химическое воздействие продуктов горения (Х1);48.92;;event;;;"{""impactCode"": ""Х1"", ""impactType"": ""chemical"", ""factor"": ""combustion_products"", ""CO_ppm"": 39, ""CO2_ppm"": 2389, ""NOx_ppm"": 3, ""description"": ""Концентрация ниже опасного порога (CO<50 ppm). Характеристики сохраняются""}"
11;sim_1747527600000;1;16;Стеллаж 1 повреждён (Т2) — термическое воздействие;55.92;;object;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672180187"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 1"", ""position"": {""x"": 450, ""y"": 420}, ""temperature_C"": 142, ""description"": ""Товар частично деформирован, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 70, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""damaged"", ""currentDamage"": 5.5}}"
12;sim_1747527600000;1;8;Оценка пожара: риск распространения;33.92;45.0;action;;;"{""nodeId"": ""node_1779052090057"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
13;sim_1747527600000;1;49;Активация системы автотушения;78.92;120.0;decision;;[14,15,16,17];"{""nodeId"": ""node_1779052282008"", ""responsible"": ""Инженер по безопасности"", ""parallel"": false, ""decisionNodeName"": ""Оценка пожара: риск распространения"", ""resultEventId"": 26}"
14;sim_1747527600000;1;54;Спринклер 1 сработал: температура 62°C;83.92;;object;13;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672149322"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 1"", ""position"": {""x"": 543, ""y"": 502}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 300, ""activationTemp"": 68}}"
15;sim_1747527600000;1;57;Спринклер 2 сработал: температура 65°C;85.92;;object;13;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672164672"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 2"", ""position"": {""x"": 559, ""y"": 832}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 290, ""activationTemp"": 68}}"
16;sim_1747527600000;1;60;Спринклер 3 сработал: температура 68°C;87.92;;object;13;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672385873"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 3"", ""position"": {""x"": 1019, ""y"": 895}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 280, ""activationTemp"": 68}}"
17;sim_1747527600000;1;63;Спринклер 4 сработал: температура 71°C;89.92;;object;13;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""activation_temp"", ""objectId"": ""object_1778672373406"", ""objectType"": ""sprinkler"", ""label"": ""Спринклер 4"", ""position"": {""x"": 700, ""y"": 650}, ""objectProperties"": {""isActive"": true, ""status"": ""safe"", ""waterSupplyRemaining"": 270, ""activationTemp"": 68}}"
18;sim_1747527600000;1;59;Намокание зоны от спринклера (М1);93.92;;event;;;"{""impactCode"": ""М1"", ""impactType"": ""climatic"", ""factor"": ""water_spray"", ""wetLevel_pct"": 20, ""description"": ""Влажность в зоне повышена, характеристики объектов сохраняются""}"
19;sim_1747527600000;1;64;Стеллаж 1 намочен спринклером — товар испорчен (М2);108.92;;object;;;"{""impactCode"": ""М2"", ""impactType"": ""climatic"", ""factor"": ""water_damage"", ""objectId"": ""object_1778672180187"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 1"", ""position"": {""x"": 450, ""y"": 420}, ""damageCause"": ""water"", ""description"": ""Товар намочен — временная потеря потребительских свойств, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 70, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": true, ""status"": ""damaged"", ""currentDamage"": 8.0}}"
20;sim_1747527600000;1;72;Стеллаж 2 намочен спринклером — товар испорчен (М2);123.92;;object;;;"{""impactCode"": ""М2"", ""impactType"": ""climatic"", ""factor"": ""water_damage"", ""objectId"": ""object_1778672220634"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 2"", ""position"": {""x"": 620, ""y"": 390}, ""damageCause"": ""water"", ""description"": ""Товар намочен — временная потеря потребительских свойств, восстановление возможно"", ""objectProperties"": {""material"": ""mixed"", ""load"": 65, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": true, ""status"": ""damaged"", ""currentDamage"": 8.0}}"
21;sim_1747527600000;1;62;Температура воздуха в зоне: критический уровень (Т2);100.92;;event;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""temperature_C"": 203, ""zone"": ""main_warehouse"", ""description"": ""Пребывание людей без защиты невозможно — временная потеря функциональности зоны""}"
22;sim_1747527600000;1;66;Концентрация CO: опасный уровень (Х2);106.92;;event;;;"{""impactCode"": ""Х2"", ""impactType"": ""chemical"", ""factor"": ""CO"", ""CO_ppm"": 244, ""CO2_ppm"": 6406, ""description"": ""CO превышает 200 ppm — временная потеря работоспособности персонала без СИЗОД""}"
23;sim_1747527600000;1;74;Стеллаж 3 разрушен (Т3) + ВОСПЛАМЕНЕНИЕ ЛВЖ (Х3);143.92;;object;;;"{""impactCode"": ""Т3/Х3"", ""impactType"": ""thermal+chemical"", ""factor"": ""fire+flammable_liquid"", ""objectId"": ""object_1778672253543"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 3"", ""position"": {""x"": 430, ""y"": 580}, ""temperature_C"": 312, ""damageCause"": ""fire"", ""description"": ""Необратимое разрушение конструкции. Воспламенение ЛВЖ — резкое ускорение распространения пожара"", ""objectProperties"": {""material"": ""flammable"", ""load"": 80, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""destroyed"", ""currentDamage"": 100.0}}"
24;sim_1747527600000;1;76;Температура воздуха: необратимое воздействие на конструкции (Т3);146.92;;event;;;"{""impactCode"": ""Т3"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""temperature_C"": 476, ""zone"": ""main_warehouse"", ""description"": ""Температура превышает предел огнестойкости несущих элементов""}"
25;sim_1747527600000;1;59;Вентиляция отключилась при 162°C (Т2);98.92;;object;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""objectId"": ""object_1779051672543"", ""objectType"": ""smoke_detector"", ""temperature_C"": 162, ""description"": ""Временная потеря функции вентиляции — восстановление после охлаждения"", ""objectProperties"": {""status"": ""damaged"", ""isOn"": false, ""temperature"": 162}}"
26;sim_1747527600000;1;89;Система автотушения активирована;198.92;;event;;;"{""sourceNodeId"": ""node_1779052282008""}"
27;sim_1747527600000;1;90;Локализация пожара;198.92;600.0;action;;;"{""nodeId"": ""node_1779052518161"", ""responsible"": ""Инженер по безопасности"", ""parallel"": true}"
28;sim_1747527600000;1;104;Температура в зоне снижается (Т1);289.92;;event;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""air_temperature"", ""temperature_C"": 87, ""zone"": ""main_warehouse"", ""description"": ""Спринклеры подавили горение — характеристики зоны восстанавливаются""}"
29;sim_1747527600000;1;94;Контроль ликвидации пожара;209.92;660.0;action;;;"{""nodeId"": ""node_1779052723979"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
30;sim_1747527600000;1;184;Полная ликвидация пожара;869.92;;event;;;"{""sourceNodeId"": ""node_1779052518161"", ""outcome"": ""success""}"
31;sim_1747527600000;1;186;Фиксация нанесенного ущерба;871.92;180.0;action;;;"{""nodeId"": ""node_1779053495479"", ""responsible"": ""Начальник смены"", ""parallel"": false}"
32;sim_1747527600000;1;204;Завершение запуска #1;1051.92;;system;;;"{""runNumber"": 1, ""outcome"": ""success"", ""strategy"": ""auto"", ""totalTimeSec"": 1051.9, ""impactSummary"": {""T1_zones"": 1, ""T2_shelves_fire"": 1, ""T2_shelves_water"": 2, ""T3_shelves_fire"": 1, ""K2_shelves_water"": 2, ""X2_CO_peak"": true, ""X3_flammable"": true}, ""maxDamageLevel"": ""Т3"", ""humidity"": 38, ""temperature"": 19, ""sprinklersActivated"": 4}"
33;sim_1747527600000;2;0;Запуск #2;0.0;;system;;;"{""runNumber"": 2, ""strategy"": ""auto"", ""humidity"": 42, ""temperature"": 21}"
34;sim_1747527600000;2;3;Задымление: начальный уровень (Т1);11.49;;event;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 8.4, ""CO2_ppm"": 785, ""CO_ppm"": 10, ""description"": ""Эксплуатационные характеристики помещения сохраняются"", ""objectId"": ""object_1779051672543"", ""objectLabel"": ""Датчик дыма""}"
35;sim_1747527600000;2;4;Датчик дыма: возгорание обнаружено;17.16;;event;;;"{""impactCode"": ""Т1"", ""objectId"": ""object_1779051672543"", ""label"": ""Датчик дыма"", ""isActive"": true, ""smokeDensity_pct"": 14, ""CO2_ppm"": 950}"
36;sim_1747527600000;2;4;Мониторинг работы склада;17.66;15.0;action;;;"{""nodeId"": ""node_detect"", ""responsible"": ""Дежурный охранник"", ""parallel"": false, ""resultEventId"": 37}"
37;sim_1747527600000;2;5;Возгорание обнаружено;32.66;;event;;;"{""sourceNodeId"": ""node_detect"", ""resultEventId"": 37}"
38;sim_1747527600000;2;11;Задымление: критический уровень (Т2);42.66;;event;;;"{""impactCode"": ""Т2"", ""impactType"": ""thermal"", ""factor"": ""smoke"", ""smokeDensity_pct"": 51.1, ""CO2_ppm"": 3167, ""CO_ppm"": 52, ""visibility_m"": 3.9, ""description"": ""Видимость снижена, персонал временно теряет ориентацию — эвакуация затруднена""}"
39;sim_1747527600000;2;8;Стеллаж 2 в зоне воздействия огня (Т1);40.66;;object;;;"{""impactCode"": ""Т1"", ""impactType"": ""thermal"", ""factor"": ""fire"", ""objectId"": ""object_1778672220634"", ""objectType"": ""shelf"", ""label"": ""Стеллаж 2"", ""position"": {""x"": 620, ""y"": 390}, ""intensity"": 1, ""temperature_C"": 55, ""objectProperties"": {""material"": ""mixed"", ""load"": 65, ""damageThresholdT2"": 80, ""damageThresholdT3"": 250, ""isWet"": false, ""status"": ""at_risk"", ""currentDamage"": 0}}"
40;sim_1747527600000;2;6;Оповещение и эвакуация персонала;33.66;240.0;action;;41;"{""nodeId"": ""node_1779051773013"", ""responsible"": ""Дежурный охранник"", ""parallel"": true, ""resultEventId"": 41}"
41;sim_1747527600000;2;38;Персонал эвакуирован;273.66;;event;40;;"{""sourceNodeId"": ""node_1779051773013""}"
42;sim_1747527600000;2;13;Химическое воздействие продуктов горения (Х1);50.66;;event;;;"{""impactCode"": ""Х1"", ""impactType"": ""chemical"", ""factor"": ""combustion_products"", ""CO_ppm"": 28, ""CO2_ppm"": 2107, ""NOx_ppm"": 4, ""description"": ""Концентрация ниже опасного порога (CO<50 ppm). Характеристики сохраняются""}"
